it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
600000	-957.8175624946223	-129.17117785879756	-828.6463846358247	184.459295810202	0.0	19.913969359116027	5.223937612931631	0.1494068467931216	0.1890807740282791	0.2487639571130072	0.06937967613686738	0.10063776498348524	0.14979194228893603	0.19525558085551484	0.3665906301134297	0.015743815969038066	0.07116797076342656	0.2380638955278197	0.03552330620285923	0.16205463692031563	0.12767346227561124	0.09437987683588805	0.22307721210086864	0.12809228365145942	0.07272572388156913	0.17572196068828344	0.2785462230950628	0.11864723900356022	0.1299038734694806	0.5653198759174297	0.040926161487606874	0.07138920000771022	0.006761309785228181	1109.800449283075
620000	-961.1699503928792	-129.23158717620018	-831.938363216679	184.459295810202	0.0	0.21898324643095016	0.5019244061899846	0.19397175203244701	0.2351733810508954	0.2638455456763274	0.19085078861253732	0.0988847188814535	0.21133519122354336	0.06532526289690295	0.23812964045900245	0.02705252396969864	0.13594063518928912	0.38050693396843077	0.015542836037024598	0.21295090611629192	0.16787948603646644	0.15568910259405014	0.34702586498806837	0.17356292923326916	0.08156103658586605	0.17605335348024378	0.5049151951452652	0.10541414688217748	0.11256095422804531	0.8565198338195977	0.02287454717156145	0.02638727256136818	0.009985716592421881	1109.800449283075
640000	-957.9578154265314	-129.0029012647587	-828.9549141617728	184.459295810202	0.0	0.36436733413018757	8.578318616339873	0.13928705706442218	0.2169475335623659	0.28428322814063206	0.18776313842035539	0.10094516572590584	0.18101930422652254	0.1639528155057829	0.23930655249909227	0.03330264333921451	0.06593816453962222	0.285896042817305	0.029566565735769608	0.15977103177150484	0.1459052336996643	0.09696036944933163	0.23470402231992846	0.13153654304873733	0.09512488972990367	0.13484340989249644	0.3657151754383769	0.15137801564339937	0.045987775856120204	0.6180977809732131	0.2612799838351782	0.08560483413653223	0.03199567810108889	1109.800449283075
660000	-957.3252325473339	-129.79011297638783	-827.5351195709461	184.459295810202	0.0	18.72126869119058	6.1189290960821285	0.18931990051570172	0.13618085848360048	0.2013569754382241	0.13583246833666276	0.14230244234236478	0.15221701204953794	0.17324081404475947	0.14821687430700234	0.013675551237393396	0.006377969566055707	0.30543955473712664	0.028932894186341544	0.2084172217948688	0.1485049615834031	0.09737872672816568	0.3173765344791843	0.17210489802336537	0.08346327050905311	0.1012261920066902	0.3291525871258173	0.12495749193066441	0.08182928972050556	0.5054407260714961	0.15274981410372462	0.05088481494392268	0.020110080249605134	1109.800449283075
680000	-966.897135068371	-129.4733012154248	-837.4238338529461	184.459295810202	0.0	14.221784373856158	11.835205924502151	0.1446443425683852	0.14482085334159392	0.3173546680515044	0.10004492244747513	0.14877777437272072	0.353056365360819	0.28846876861033344	0.2984705026648395	0.027604122953549286	0.011948149144527834	0.266705286192656	0.005213338484878597	0.2324096305754279	0.2184534884632394	0.10522282443520647	0.2744889485332171	0.14195847996076766	0.09879591096665472	0.3139984739032281	0.3335916226316298	0.12770318656651397	0.09354146279828338	0.4050724398881878	0.016835860691366736	0.0368012613375927	0.006883815296950687	1109.800449283075
700000	-958.6486262232503	-129.57079015317592	-829.0778360700743	184.459295810202	0.0	16.53209590200433	17.83928667134066	0.14485336244762045	0.12899763328050126	0.22495382406672004	0.1706961147044221	0.10119979169965965	0.20351333776238548	0.23550531534031238	0.2151033003644167	0.04530541615481254	0.025608685287901497	0.34097456862494435	0.05112910345808394	0.20292933549059577	0.24859303534293395	0.09016506214142303	0.29350527032236423	0.1262286332638409	0.07436255790624607	0.22805522306759196	0.3417688046054365	0.11509231406934682	0.083778605129005	0.37644819008520136	0.01228350464629602	0.02075344408148656	0.016115381965694262	1109.800449283075
720000	-955.0625034005097	-129.001166627454	-826.0613367730557	184.459295810202	0.0	11.75354891491429	12.212740168190948	0.1751489993980461	0.20013318756744367	0.3411648452506296	0.09232103953039475	0.13381895694729543	0.0835052783341625	0.13390502405682392	0.24575359814851236	0.013522388078885134	0.06687131063649258	0.320281716988879	0.009295712510508956	0.2090292257569726	0.11632207074204286	0.09830431910413141	0.17510133553440732	0.12756004393301576	0.09516134707290239	0.15405209893815722	0.2089348078211375	0.13822050382452922	0.09876481725674875	0.6919136087681756	0.06801080743252803	0.0623051823716965	0.006637995130773919	1109.800449283075
740000	-958.0797370724835	-128.99814696121697	-829.0815901112665	184.459295810202	0.0	18.77496435690971	8.230293916998109	0.1609628316493251	0.19880289708572144	0.2453617784486302	0.0978122498080522	0.11193461084140648	0.18844660423110826	0.07299382841348061	0.22461291579492498	0.03478107087544473	0.13194030618199967	0.26518407165499913	0.02858404654476937	0.23449626890874514	0.12282363950072536	0.09804957706638195	0.2233211185416341	0.1310962076215609	0.07993422908916453	0.17767191223467435	0.32571912104740613	0.19706190786183986	0.10456193908911411	0.9113940074144943	0.2518400703515826	0.05553328335827532	0.020041743169913504	1109.800449283075
760000	-961.1834760437207	-130.40340161289936	-830.7800744308213	184.459295810202	0.0	14.671983128190433	3.2065708846601564	0.18541799358164923	0.10697908157489898	0.22461818838020806	0.1599787933313678	0.10063021135486959	0.1162576298062091	0.10893619629169823	0.27499001146754964	0.022321637422467205	0.010966259019600093	0.34147624274748695	0.055957713484014265	0.17217408518104768	0.2487115511471073	0.06991819434001853	0.3029821538725308	0.11947052533320435	0.0503780810764985	0.2110974924447202	0.3225880897221438	0.255188520987081	0.07974387722334776	0.6306013214106228	0.042610167997428124	0.09873510107683249	0.013678887477099177	1109.800449283075
780000	-961.6775742625907	-129.38533268440762	-832.2922415781832	184.459295810202	0.0	9.357662389149516	11.470137952416035	0.12746343505535773	0.16269209711528138	0.493190672686605	0.12151791952007573	0.17192280287461364	0.07848417527553464	0.12202749901804698	0.23471355175921024	0.02154258599211092	0.059980321064272236	0.23384878406042123	0.009985196819497989	0.2612294546803665	0.15338306065762164	0.14416262353414314	0.27531196228795746	0.18461800136050247	0.05467805479508473	0.23454108672387639	0.2822670549147264	0.1829487276962105	0.08627404677247193	0.4519194813980491	0.14426890183890878	0.03930582835969256	0.022057952413328367	1109.800449283075
