Species	Status	MinT	MaxT
Pseudospinax_heterodon	 extinct	100.501	110.2
Pseudospinax_pusillus	 extinct	93.901	100.5
Restesia_americana	 extinct	66.001	70.1
Restesia_americana	 extinct	66.001	70.1
Restesia_americana	 extinct	66.001	70.6
Restesia_americana	 extinct	66.001	70.6
Restesia_americana	 extinct	66.001	70.6
Restesia_americana	 extinct	66.001	72.1
Restesia_americana	 extinct	72.101	83.6
Restesia_americana	 extinct	72.101	83.6
Restesia_nordquistae	 extinct	66.001	70.1
Rhincodon_ferriolensis	 extinct	15.971	20.44
Rhincodon_typus	 extant	23.031	28.1
Rhincodon_typus	 extant	15.971	41.3
Rhincodon_typus	 extant	2.589	5.333
Squatiscyllium_casieri	 extinct	47.801	56
Squatiscyllium_nigeriensis	 extinct	47.801	59.2
Squatiscyllium_nigeriensis	 extinct	56.001	59.2
Squatiscyllium_nigeriensis	 extinct	56.001	59.2
Squatiscyllium_nigeriensis	 extinct	56.001	59.2
Stegostoma_tethysiensis	 extinct	38.001	41
