Order	Family	Genus	Species	Reported as	Earliest Age	Latest Age	Stratigraphic age	Country	Paleobiogeography_all	Paleobiogeography	Latitude	Longitude	References
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Chiloscyllium missouriense	83.6	72.101	Campanian	Canada	Western Atlantic	Outside_Tethys	49.8168493	-113.2039293	Peng et al. (2001)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Cantioscyllium sp.; also reported as Cantioscyllium decipiens by Meyer (1974) and W&F (1993)	100.5	96.201	Cenomanian (Lower)	United States	Western Atlantic	Outside_Tethys	32.8317427	-97.0478933	Cappetta & Case (1999)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Cantioscyllium cf. meyeri	72.1	66.001	Maastrichtian	United States	Western Atlantic	Outside_Tethys	34.8309998	-77.8163683	Case et al. (2017)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.		83.6	72.101	Campanian	United States	Western Atlantic	Outside_Tethys	33.6874388	-80.4363743	Cicimuri (2007)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Cantioscyllium aff. decipiens & Cantioscyllium sp.	86.3	83.601	Santonian	United States	Western Atlantic	Outside_Tethys	34.5802074	-105.996047	Bourdon et al. (2011) See also Williamson et al. (1989)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Cantioscyllium saginatus	86.3	83.601	Santonian	United States	Western Atlantic	Outside_Tethys	32.0955156	-88.686527	Meyer (1974)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.		89.8	86.301	Coniacian	United States	Western Atlantic	Outside_Tethys	34.5802074	-105.996047	Johnson & Lucas (2003)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.		85.8	83.601	Santonian (Upper)	Kazakhstan	Tethys	Tethys	50.24583	57.20667	Cappetta (unpublished)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Cantioscyllium spp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.9359026	-0.6900244	Vullo et al. (2007)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.		157.3	152.101	Kimmeridgian	United Kingdom	Tethys	Tethys	50.6078572	-2.1139493	Underwood (2002)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Cantioscyllium sp.	70.1	66.001	Maastrichtian (Upper)	Morocco	Tethys	Tethys	32.239034	-7.958131	Noubhani & Cappetta (1997)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		76.4	72.101	Campanian (Upper)	Belgium	Tethys	Tethys	50.4760289	4.0062232	Herman (1977)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.9928243	1.8768545	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.9928243	1.8768545	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.5077248	4.0805731	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	50.8820539	-1.3439233	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	50.8787278	-0.8178496	Underwood & Ward (2008); Guinot et al. (2012, 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia havreensis		85.8	83.601	Santonian (Upper)	United Kingdom	Tethys	Tethys	51.5447992	-0.6830894	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia nilsi		83.6	80.601	Campanian (Lower)	Sweden	Tethys	Tethys	56.0293778	14.1566859	Siverson (1995)
