Family	Genus	Species	latitude	longitude
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141735531	152.1507815075
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8064722217	151.304694445
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7994373556	151.2963870927
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7421638889	151.3175194444
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7421388889	151.31755
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.4425398442	152.5376061686
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7133825519	152.1573749186
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5639522181	151.2659495418
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7997665578	151.2966849086
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.8015092372	153.5975629091
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.5429080955	150.3921200641
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.5426194444	150.3917666667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5841265491	151.333070551
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.4298556152	152.5253041835
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.4298556152	152.5253041835
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5256408497	151.3950877585
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.4495799228	151.4512572438
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8396864792	151.2527846292
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799777938	151.29324525
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7992620145	151.2961652846
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.130374	153.207199
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.56293	150.87448
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.5925373246	150.8874853342
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9159338175	151.2621035054
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800245808	151.2951150887
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0403738306	151.2004235194
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.8283370378	153.6079240193
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.68880069	152.18780355
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9158256782	151.2643817779
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7988393679	151.2959377784
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.00333	151.215221
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
