Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
970	-116.3041	-80.98696	-35.31719	0.251717	0.748283	258.999	224.881	200.797	192.922	142.876	139.848	115.861	82.5484	76.901	40.0298	27.6839	17.9111	4.98206	0	0.6537793	0.748283	0.251717	0.02409148
980	-117.2943	-78.88912	-38.40515	0.24314	0.75686	251.894	229.865	205.605	196.847	151.414	137.849	114.785	84.8872	76.8066	47.5902	25.6389	16.7173	4.02618	0	1.824574	0.7568598	0.2431402	0.07891016
990	-116.8334	-78.67165	-38.16179	0.319281	0.680719	244.634	228.087	208.784	190.48	147.324	133.958	104.516	80.2589	78.6644	48.3773	35.5558	8.06165	4.84256	0	1.463774	0.6807185	0.3192815	0.1327313
1000	-118.8886	-81.23118	-37.6574	0.468132	0.531868	250.213	237.443	209.31	187.226	141.263	138.342	105.774	84.8435	79.0272	44.7978	34.9583	12.2698	2.99128	0	1.066253	0.5318678	0.4681322	0.1709479
1010	-116.931	-79.78183	-37.14915	0.428123	0.571877	242.818	224.528	207.185	184.961	159.244	130.216	114.924	87.8881	77.0529	42.0894	29.5381	9.78477	4.47956	0	1.430993	0.5718766	0.4281234	0.05158087
1020	-115.6507	-78.2776	-37.37315	0.445517	0.554483	242.312	222.903	208.521	191.439	152.02	138.152	103.565	85.9607	69.6058	47.653	39.902	12.0212	4.50936	0	1.302057	0.5544828	0.4455172	0.08362191
1030	-114.9121	-77.58888	-37.32323	0.292576	0.707424	245.163	222.863	208.668	187.457	156.854	121.42	107.597	82.8811	71.4903	49.1544	30.6719	11.3565	4.73535	0	1.38581	0.7074235	0.2925765	0.06730864
1040	-118.7939	-79.80033	-38.99358	0.153357	0.846643	252.133	222.67	210.117	194.701	154.496	126.047	104.012	81.5159	70.0815	50.385	29.2537	17.5489	4.93738	0	1.849122	0.8466426	0.1533574	0.1348536
1050	-117.5595	-82.15916	-35.40038	0.225678	0.774322	245.163	222.937	214.598	199.393	150.621	120.586	104.092	91.9208	62.8741	55.3395	25.5213	5.32064	4.70158	0	1.006017	0.7743222	0.2256778	0.01968223
1060	-118.4413	-82.43787	-36.0034	0.835704	0.164296	241.768	227.001	217.602	193.165	151.455	123.603	118.38	91.1016	60.6771	57.3703	29.8283	10.0079	4.78019	0	1.400938	0.1642965	0.8357035	0.01743998
1070	-115.7659	-78.72084	-37.04505	0.385689	0.614311	251.638	226.166	211.242	186.751	141.516	123.462	119.427	91.3578	68.7336	58.528	38.9848	18.6016	4.87344	0	1.270736	0.6143114	0.3856886	0.06402347
1080	-117.2322	-80.12122	-37.11103	0.293308	0.706692	257.971	228.416	206.858	194.878	150.719	133.116	106.612	83.2263	70.4468	57.1608	28.2441	18.4221	3.61166	0	0.9933013	0.7066924	0.2933076	0.1109887
1090	-116.6354	-80.17253	-36.46284	0.214275	0.785725	258.241	220.45	207.43	187.878	142.103	130.325	103.896	88.1222	79.3112	54.5111	27.1849	16.463	4.8128	0	1.296378	0.7857246	0.2142754	0.03402616
1100	-120.6923	-83.24036	-37.45192	0.921397	0.0786025	253.867	229.893	212.186	195.988	147.891	133.953	100.122	90.4427	68.1919	58.2281	20.6375	16.7503	2.64968	0	1.069974	0.07860255	0.9213975	0.1383424
1110	-116.1819	-79.25464	-36.9273	0.223545	0.776455	250.739	226.345	216.305	190.584	140.007	137.338	117.667	93.3877	63.0555	50.9854	24.3894	14.6937	4.75113	0	1.142238	0.7764549	0.2235451	0.07230207
1120	-117.2347	-79.67719	-37.55748	0.766175	0.233825	259.685	227.935	218.924	184.154	157.532	130.133	119.019	89.5887	68.9317	43.7103	23.574	12.5311	4.65613	0	1.274687	0.2338251	0.7661749	0.1060629
1130	-115.605	-77.56363	-38.04136	0.0279384	0.972062	254.502	221.966	216.355	185.692	156.889	136.766	104.227	81.2863	68.0048	43.713	28.9778	16.3399	4.73435	0	1.758135	0.9720616	0.02793838	0.06322043
1140	-116.8699	-80.38392	-36.48595	0.00529423	0.994706	254.031	223.244	215.89	188.772	153.317	136.525	106.542	93.0358	60.8468	48.1667	29.2527	17.9512	4.63821	0	1.069438	0.9947058	0.005294228	0.05270174
